tx_id,from_account,to_account,amount,currency,timestamp,country
TX1001,A100,B200,9500.00,USD,2023-10-01T10:00:00Z,US
TX1002,B200,C300,9450.00,USD,2023-10-01T10:15:00Z,UK
TX1003,C300,D400,9400.00,USD,2023-10-01T10:30:00Z,CH
TX1004,D400,A100,9350.00,USD,2023-10-01T10:45:00Z,KY
TX1005,A100,B200,9600.00,USD,2023-10-02T11:00:00Z,US
TX1006,B200,C300,9550.00,USD,2023-10-02T11:15:00Z,UK
TX1007,C300,D400,9500.00,USD,2023-10-02T11:30:00Z,CH
TX1008,D400,A100,9450.00,USD,2023-10-02T11:45:00Z,KY
TX1009,E500,F600,200.00,USD,2023-10-03T09:00:00Z,US
TX1010,F600,G700,150.00,USD,2023-10-03T09:30:00Z,US
TX1011,H800,I900,8500.00,USD,2023-10-04T14:00:00Z,CY
TX1012,I900,J000,8400.00,USD,2023-10-04T14:30:00Z,MT
TX1013,J000,K100,8300.00,USD,2023-10-04T15:00:00Z,VG
TX1014,K100,H800,8200.00,USD,2023-10-04T15:30:00Z,PA
TX1015,L200,M300,12000.00,USD,2023-10-05T08:00:00Z,US
TX1016,N400,O500,15000.00,USD,2023-10-05T09:00:00Z,DE
TX1017,P600,Q700,9800.00,USD,2023-10-06T10:00:00Z,IE
TX1018,Q700,R800,9750.00,USD,2023-10-06T10:20:00Z,LU
TX1019,R800,P600,9700.00,USD,2023-10-06T10:40:00Z,LI
